text
#美国拒绝进口中国KN95口罩#真是不做人，继续作吧 ?
#美国拒绝进口中国KN95口罩# 明天写一下三大平台币的估值分析？
 有骨气。。。。别用千万别用，有本事呼吸机，口罩，消毒液，防护服，都别用！！！！命都没了还搞政治！！！！这帮政客都该罢免！！当官不为民做主，不如回家卖红薯！！ ?
#美国拒绝进口中国KN95口罩#【美国疫情严重却拒绝进口中国KN95口罩  #美国医护人员谈论物资短缺被解雇#】据海外网4月1日报道，近日，美国至少有两名医护人员因公开表示需要更多的新冠病毒检测和防护设备而被医院解雇，美国各地的医院都警告医生和护士“不要将新冠病毒造成的医疗用品短缺情况公之于众” ?  展开全文c
#美国拒绝进口中国KN95口罩#【美国疫情严重却拒绝进口中国KN95口罩  #美国医护人员谈论物资短缺被解雇#】据海外网4月1日报道，近日，美国至少有两名医护人员因公开表示需要更多的新冠病毒检测和防护设备而被医院解雇，美国各地的医院都警告医生和护士“不要将新冠病毒造成的医疗用品短缺情况公之于众” ?  展开全文c
#美国拒绝进口中国KN95口罩#爱要不要 ?
#美国拒绝进口中国KN95口罩# 别说的好像谁想要买给你一样 ?
#美国拒绝进口中国KN95口罩#这完全是M国的不对？咱自身一点的问题都没有？？？ 早些年我就讲过中国现在不缺“夜郎自大”的人，中国人的的确确的有个喜欢自夸的“好”习惯啊，中国媒体爱自夸！中国当局也爱自夸（尤其向国民单方面宣扬的中国发展）（单单宣扬出来中国的辉煌和发展）让我有幸目睹了鸦片战 ?  展开全文c
#美国拒绝进口中国KN95口罩# 新冠对美国人算啥，多喝热水 ?
#美国拒绝进口中国KN95口罩#我们先满足国内～不是你们要不要，???看我们卖不卖给你～ ?
#美国拒绝进口中国KN95口罩#嗯，其实中国应该决绝的表示：我们不会给美国出口。两周以后，他会求你的#小泥视点# ?
我怀疑新型冠状病毒就是美国流感演变的#美国拒绝进口中国KN95口罩##美国新冠病毒感染病例超过10万#  但是没有证据，然后可能为了造出病毒不是美国的假象，故意表现出不重视... ?
#美国拒绝进口中国KN95口罩# 芝加哥护士哭诉，医院禁止一名在新冠病毒病房工作的护士戴自己的N95口罩，医院也没为护士提供，只好辞职，失去生活来源。#美国又两州进入重大灾难状态# L污盟主的微博视频 ?
#美国拒绝进口中国KN95口罩# 全世界都知道有口罩比没口罩强，尤其是疫情期口罩是急需物资，美国却拒绝！要么是曲线采购，要么是另辟渠道。说是为了经济我不太信，不过他们这样做倒显得我们中国坦荡磊落，毕竟西方国家拿了口罩又说质量不好的人也是有的……提前亮，也没啥不好！ ?
美国的阶级斗争意识太强了吧，宁要资本主义的草，不要社会主义的苗，全靠特朗普的精神原子弹，战胜病毒 2北京 ?
#美国拒绝进口中国KN95口罩#那可真是太棒了?? ?
新冠肺炎疫情迅速在西方国家蔓延，有没有觉得西方人跟我们在学校里有些极度烦人的同学很像。当你去上自习时，他在寝室里讽刺你积极进步。他们考试前疯狂准备小抄，像条狗。考出来如果及格了就到处散播学习无用论。不过这次，西方人考不及格了，现在正积极争取补考的机会， ?  展开全文c
#美国拒绝进口中国KN95口罩#本来也没想给你，谢谢 ?
#美国拒绝进口中国KN95口罩#那我们就直接不出口给他们就完事了呀，那么多国家都需要，非要给他们嘛，要做有脾气的中国人 2张家口 ?
#美国拒绝进口中国KN95口罩#爱用不用，不用拉倒，我们国人自己都缺 给你们，你们却不要，拒绝最好，还有好多国家需要这样急救的医用物资呢，至少其他国家都会对我们有感恩互助之心 ?
2020年。没有任何一个国家可以和中国比安全感，这安全感来源于14亿的团结努力！#厉害了我的国# #美国拒绝进口中国KN95口罩# L搞笑学妹酱的微博视频 ?
#美国拒绝进口中国KN95口罩#好的呢我也口头捐赠250亿的物资给川普 ?
#美国拒绝进口中国KN95口罩#不是 也没打算给你们啊? ?
#美国拒绝进口中国KN95口罩#京东漏洞 ?
