userid,text
7249260698,#双黄连可抑制新型冠状病毒#??买不到双黄连口服液的亲，不要焦虑，看新闻看重点，这货是抑制病毒，所谓抑制，就是你得拥有它，才能抑制，既然你拥有了它，那你就要去医院了，去了医院，医生自然会送到你面前，所以不用着急；另外，如果你没得，你一直喝它，也会胃寒，会有耐药性，会不舒服。另外的另外，明天开始，买退烧，咳嗽药要登记，买着买着，你就登记在册了，也不是一件好事。所以，没事别惦记着吃药。 收起全文d
3407672706,#双黄连可抑制新型冠状病毒# 双黄连口服液由金银花、黄芩、连翘三味中药组成。中医认为，这三味中药具有清热解毒、表里双清的作用。现代医学研究认为，双黄连口服液具有广谱抗病毒、抑菌、提高机体免疫功能的作用，是目前有效的广谱抗病毒药物之一！ ?
6179470855,#双黄连可抑制新型冠状病毒#开了中药十天的量 ?
8532920224,#双黄连可抑制新型冠状病毒# 消息发布半小时，京东双黄连全部无货 ?
8034373512,#双黄连可抑制新型冠状病毒# 这是没招了还是要割一拨刺激一下一季度经济？ ?
7194136045,#双黄连可抑制新型冠状病毒#我服了都还在临床的阶段抢什么抢？还有抢兽药的。。。。 ?
3455949776,#双黄连可抑制新型冠状病毒#好多地方没货了，这也太快了吧 ?
4279394552,#双黄连可抑制新型冠状病毒# 我看个热搜真的抵挡不了我想吐槽的心情，中药招你惹你了。。。。。什么人啊都是。 ?
7383709515,#双黄连可抑制新型冠状病毒#希望公开这个结论的依据，实验支撑 ，数据支撑。哪个专家团队用什么办法知道的？怎么起到抑制效果的？一共筛选了哪些药品，为什么一定得是双黄莲口服液？柳叶刀上论文走一波啊？ ?
3503774598,#双黄连可抑制新型冠状病毒#好消息！好消息！好消息！双黄连口服液可以抑制新型冠状病毒，转发给身边的朋友！ L周叔易道的微博视频 ?
7500566189,#双黄连可抑制新型冠状病毒#已经定好闹钟明天一早就冲去附近药房买一盒（虽然听起来有板蓝根效应，但有备无妨） ?
3919901583,#双黄连可抑制新型冠状病毒# 睡前打开微博刷到了一个?? 爆的消息  转运的2月开始了 ?
4271283287,#双黄连可抑制新型冠状病毒#不知道一觉醒来双黄连会断货吗 ?
8156972684,#双黄连可抑制新型冠状病毒#口罩抢不到，酒精抢不到，消毒液抢不到，连双黄连口服液都抢不到我好难 ?
4921647813,#双黄连可抑制新型冠状病毒#孕妇慎用 ?
3967553038,#双黄连可抑制新型冠状病毒#？？？早知道我应该买双黄连而不是维C银翘片了 ?
7965505012,#双黄连可抑制新型冠状病毒# 我真是服了，有必要如此吗，有效无效自己心里没数吗？我前年感个普通冒，喝了两盒还没好，哦对，那我得的应该是肺炎，抑制住了，对，应该是我不懂病情
8051786979,板蓝根：轮到你了。睡前乐呵乐呵，今晚好梦。#双黄连可抑制新型冠状病毒##双黄连口服液脱销# ?
4612998272,#双黄连可抑制新型冠状病毒#这带货能力…兽用都抢完了 ?
8193605835,#双黄连可抑制新型冠状病毒#看到就去搜了下！大家也太迅速了吧？但是双黄连有些人喝了是会过敏的！而且不是说这是抑制病毒的又不是预防病毒！没感染没症状的不要盲目抢了！就像没感冒的人吃感冒药一样没用！ 2三门峡 ?
4302128656,#双黄连可抑制新型冠状病毒#这个应该也可以有点用吧 ?
7494611556,#双黄连可抑制新型冠状病毒#理性购物，把药物留给真正有需要的人 ?
4311607069,#双黄连可抑制新型冠状病毒# 当年SARS抢板蓝根，现在改抢双黄连了？ ?
6794256394,#双黄连可抑制新型冠状病毒#中成药居然打了一场翻身仗 ?
8238223767,#双黄连可抑制新型冠状病毒##封城日记##武汉封城# 今天去超市，真的是把我自己吓到了吓傻了有木有，限号进入，就像国广那些卖包的奢侈品牌子店一样，还没轮到我进去呢一群穿着全白生化服的两人就进去了对着所有商品一顿猛喷，消毒水??你说这些菜我还敢买吗？我买，我还买了小1k剩下的2包尿不湿我也抢了。不过感觉其他人都还满淡定的。就我们买的最多，回家了想泡酒精可不可以？？？ 收起全文d
4692006562,#双黄连可抑制新型冠状病毒##火神山2月3日可收治病人# 感觉一切都在往好的方向发展感冒了好久  老爸担心 半夜又熬起了姜丝可乐希望疫情赶紧好转起来吧 ???????????? ?
4022759747,【上海药物所、武汉病毒所联合发现：#双黄连可抑制新型冠状病毒#】
6633884415,"#双黄连可抑制新型冠状病毒#突然想起了双黄连的广告：您勤洗手,您多通风,人多不去凑热闹,多喝水,睡眠足,瓜果菠菜牛奶好...常备三精双黄连,流感季节别感冒！！！感觉就差一副#快板#  ?"
7285187354,#双黄连可抑制新型冠状病毒#还是老实在家待着好 明早可不要去排队抢这个哦 近期都是爆发高峰期 待在家里等过了这段时间 一切都会越来越好的 ?
7871299194,春节，肉吃多了。导致嘴唇上火，以前总是吃双黄连颗粒降火，这次去药店发现卖完了，只能退而求其次，买了口服液，每天6瓶喝的只剩下2瓶了，今儿热搜发现，这玩意竟然能抑制新型病毒？what?!!哭笑不得，那我能拿什么降火烦躁  ???#双黄连可抑制新型冠状病毒# ?
4828649186,#双黄连可抑制新型冠状病毒# “目前，双黄连口服液已在上海公共卫生临床中心、华中科技大学附属同济医院开展临床研究。” ?
7499214675,#双黄连可抑制新型冠状病毒# 双黄连口服液要断货了…
3842709501,#双黄连可抑制新型冠状病毒#我要明天药店开门去买一波希望还有 ?
4772593329,#双黄连可抑制新型冠状病毒# 双黄连口服液瞬间秒没了 ?
7172680549,#双黄连可抑制新型冠状病毒#作为一名学中药的在这个时候只想为中医中药默默的发一点声 我见过许多“中医黑”“反中医”西医与中医的碰撞 希望大家不要妖魔化中医 这次也不要神化中医 一切都以科学的研究和数据为佐证 甚至学中医中药的要比西医西药付出更多的时间与努力 还有 古话说得好 是药三分毒 服药还是要谨遵医嘱 收起全文d
6377702982,#双黄连可抑制新型冠状病毒# 关于双黄连可以抑制病毒1.没被感染你吃了也没有用2.一旦被感染，还没等你吃，就被带走了3.所以你们急着囤货干什么呢？ ???
4673769203,#双黄连可抑制新型冠状病毒#秒断货 ?
3617829011,#双黄连可抑制新型冠状病毒#完了，断货预警。明天一大早起来去药店看看！ ?
4230610851,善意提醒啊  别买错了  别买成??吃的了  到时候吃完才发现就尴尬了??????#双黄连可抑制新型冠状病毒# ?
7784166092,#双黄连可抑制新型冠状病毒#人好好的就不要买去吃了，抑制药，不是预防 ?
3987830221,#双黄连可抑制新型冠状病毒#希望真的可以治病！更多的人都可以康复???? ?
6075561628,#双黄连可抑制新型冠状病毒#过于夸张了。。。 ?
7787528647,#双黄连可抑制新型冠状病毒#我不信。资本家推的。 ?
3676770406,#双黄连可抑制新型冠状病毒#断货了。。。这次终于不是板蓝根了 ?
6335341772,#双黄连可抑制新型冠状病毒#来呗，中医黑 ?
7954724136,这个说法我持怀疑态度//@俄罗斯什么值得买:#双黄连可抑制新型冠状病毒# 不到十分钟，又增加了接近两百单销售！精神可嘉！半夜买兽药 。。。。。 查看图片
4853566354,//@汽车洋葱圈:#双黄连可抑制新型冠状病毒# 哈哈哈哈！大家清醒一点啊！看清楚再买啊！千万别买错了！
4190307676,#双黄连可抑制新型冠状病毒#不懂就问  抑制难道不是得病了才吃吗？又没说是预防抢啥呢？ ?
8212983438,#双黄连可抑制新型冠状病毒#报道要看完看清楚啊～可以抑制！抑制！说明生病了才有用，不是预防作用；还有目前才进入临床研究阶段，说明它到底多有用，未知！现在就着急抢的人，我不太懂了，是希望自己生病还是不希望自己生病？ ?
2814593868,#双黄连可抑制新型冠状病毒#真不是我怀疑啊，非典抢板蓝根，广岛核泄漏抢盐，现在...呃...退一步讲，就算有效，不应该优先供给病人吗，没病的抢断祸是啥情况？炒股的可以考虑买一手生产双黄连口服液的医药公司的股份了，周一开盘必涨，等国人们冷静下来前就可以出手 ?
8230135697,//@俄罗斯什么值得买:#双黄连可抑制新型冠状病毒# 不到十分钟，又增加了接近两百单销售！精神可嘉！半夜买兽药 。。。。。 查看图片
